Listado de Proyectos DESAPROBADO

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"233";"GOBIERNO REGIONAL DE HUANCAVELICA";"20486020882";"EIA-SD %u201CMEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DE LA CARRETERA DEPARTAMENTAL HV-107, EMP. PE-26B (LIRCAY)-ANCHONGA-HUAYNAY-EMP.PE-3SM (CALZADA), PROVINCIA DE ANGARAES Y ACOBAMBA DEL DEPARTAMENT*";"%u201CMEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DE LA CARRETERA DEPARTAMENTAL HV-107, EMP. PE-26B (LIRCAY)-ANCHONGA-HUAYNAY-EMP.PE-3SM (CALZADA), PROVINCIA DE ANGARAES Y ACOBAMBA DEL DEPARTAMENTO DE HUANCAVELICA%u201D";"Clasificación";"Transportes";"21/08/2018";"Desaprobado";"SIN DESCRIPCION";"-74.72466056";"-12.98566876";"RD N° 00063-2019-SENACE-PE/DEIN";"null";
"240";"MUNICIPALIDAD DISTRITAL DE OCOBAMBA";"20277520126";"DIA "MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR DE LA VIA CU-106, TRAMO JUKICHACA-KELKAYBAMBA-SAN LORENZO-HUAYRACPUNCO, CENTRO POBLADO DE KQUELCCAYBAMBA - DISTRITO DE OCOBAMBA - PROVINCIA DE LA CON*";"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR DE LA VIA CU-106, TRAMO JUKICHACA-KELKAYBAMBA-SAN LORENZO-HUAYRACPUNCO, CENTRO POBLADO DE KQUELCCAYBAMBA - DISTRITO DE OCOBAMBA - PROVINCIA DE LA CONVENCION - REGIÓN CUSCO";"Clasificación";"Transportes";"07/08/2018";"Desaprobado";"SIN DESCRIPCION";"-72.32486254";"-13.02551542";"RD N° 00018-2019-SENACE-PE/DEIN";"null";
"265";"GRUPO INMOBILIARIA MILENIA S.A.C.";"20604030758";"HABILITACIÓN URBANA NUEVA NAVARRA-HUANCABAMBA-OXAPAMPA-PASCO";"H.U NUEVA NAVARRA";"Clasificación";"Vivienda";"16/03/2022";"Desaprobado";"SIN DESCRIPCION";"-75.44019953";"-10.47903756";"RD N° 00001-2023-SENACE-PE/DEIN";"null";
"268";"MINISTERIO DE TRANSPORTES Y COMUNICACIONES";"20131379944";"INFORME TÉCNICO SUSTENTATORIO (EN ADELANTE %u201CITS%u201D) PARA LA HABILITACIÓN DE POZOS DE AGUA PARA LA ETAPA DE CONSTRUCCIÓN DEL NUEVO AEROPUERTO INTERNACIONAL DE CHINCHERO - CUSCO (EN ADELANTE AICC)";"DIRECCIÓN GENERAL DE AERONÁUTICA CIVIL";"ITS";"Transportes";"24/03/2022";"Desaprobado";"SIN DESCRIPCION";"-72.07580273";"-13.3677547";"RD N° 00088-2022-SENACE-PE/DEIN";"null";
"270";"MUNICIPALIDAD PROVINCIAL SATIPO";"20146674403";"CREACION DEL SERVICIO DE PROTECCION Y CONTROL DE INUNDACIONES CON DEFENSAS RIBEREÑAS EN LA MARGEN DERECHA E IZQUIERDA DEL RIO MAZAMARI %u2013 DISTRITO DE MAZAMARI %u2013 PROVINCIA DE SATIPO %u2013 DEPARTAMENTO DE JUNIN";"DEFENSAS RIBEREÑAS RIO MAZAMARI";"Clasificación";"Agricultura";"22/03/2021";"Desaprobado";"SIN DESCRIPCION";"-74.53055682";"-11.3323575";"RD N° 00155-2021-SENACE-PE/DEIN";"null";
"252";"MUNICIPALIDAD DIST.DE CHALLHUAHUACHO";"20288774553";"CREACIÓN DEL SERVICIO DE CAMINO VECINAL DEL ANEXO DE SUCASUCA AL CAMIMO VECINAL AP 962; DEL CAMINO VECINAL AP 962 AL SECTOR DE HUALLPAMAYO DE LA COMUNIDAD CAMPESINA DE QUEUÑA DEL DISTRITO DE CHALLHUAHUACHO, PROVINCIA DE COTABAMBAS, DEPARTAMENTO DE APURÍMA";"SERVICIO DE CONSERVACIÓN DE SUELO CHOCCOYO";"Clasificación";"Transportes";"09/11/2022";"Desaprobado";"SIN DESCRIPCION";"-72.28522179";"-14.15026717";"RD N° 00020-2023-SENACE-PE/DEIN";"null";
"258";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO (EIA-D - CATEGORÍA III) DE LA UNIDAD MINERA ORCOPAMPA";"ORCOPAMPA";"PPC";"Minería";"03/10/2023";"Desaprobado";"SIN DESCRIPCION";"-72.33375624";"-15.28117148";"RD N° 00176-2023-SENACE-PE/DEAR";"null";
"262";"MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA";"20146917314";"MEJORAMIENTO Y AMPLIACIÓN DE LA TRANSITABILIDAD VEHICULAR EN LOS DISTRITOS DE BAGUA GRANDE Y LONYA GRANDE DE LA PROVINCIA DE UTCUBAMBA - DEPARTAMENTO DE AMAZONAS";"INFRAESTRUCTURA DE TRANSPORTE BAGUA GRANDE Y LONYA GRANDE";"Clasificación";"Transportes";"13/09/2022";"Desaprobado";"SIN DESCRIPCION";"-78.39888317";"-5.77235013";"RD N° 00207-2022-SENACE-PE/DEIN";"null";
"310";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"ITS PARA EL INFORME TÉCNICO DE MANTENIMIENTO (ITM) DE 22 PUENTES Y 86 PONTONES UBICADOS ENTRE EL KM 004+320 %u2013 KM 246+357.49 DEL PROYECTO CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ %u2013 BRASIL, TRAMO N° 2: URCOS - PUENTE INAMBARI";"CORREDOR VIAL INTEROCEÁNICO SUR, PERÚ-BRASIL, TRAMO 02: URCOS %u2013 PUENTE INAMBARI";"ITS";"Transportes";"26/04/2021";"Desaprobado";"SIN DESCRIPCION";"-71.60579972";"-13.67265516";"RD N° 00089-2021-SENACE-PE/DEIN";"null";
"312";"GREEN CARE DEL PERU S.A.";"20379037012";"INFORME TÉCNICO SUSTENTATORIO - ITS PARA LA AMPLIACIÓN DE LA CAPACIDAD INSTALADA DEL PROYECTO INFRAESTRUCTURA DE VALORIZACIÓN DE RESIDUOS SÓLIDOS DEL ÁMBITO NO MUNICIPAL";"INSTALACIÓN DE COMERCIALIZACIÓN DE RESIDUOS SÓLIDOS";"ITS";"Residuos Sólidos";"04/05/2023";"Desaprobado";"SIN DESCRIPCION";"-77.12439711";"-11.86648139";"RD Nº 00155-2023-SENACE-PE/DEIN";"null";
"319";"GR VALE S.A.C.";"20602751997";"EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) DEL PROYECTO PARQUE SOLAR LUPI 180 MW";"SOLAR LUPI";"Clasificación";"Electricidad";"15/06/2018";"Desaprobado";"SIN DESCRIPCION";"-70.51375055";"-16.82030385";"RD N° 122-2018-SENACE-JEF/DEAR";"null";
