Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"472";"BEAR CREEK MINING S.A.C.";"20519387043";"TERCER INFORME TÉCNICO SUSTENTATORIO DEL PROYECTO CORANI";"CORANI";"ITS";"Minería";"06/11/2023";"En Evaluación";"SIN DESCRIPCION";"-70.64864614";"-14.07821876";"";"null";
"510";"MUNICIPALIDAD DISTRITAL DE FIDEL OLIVAS ESCUDERO";"20221633882";"CREACION DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN EL EMP. AN 606-CHOGO GRANDE-PONTO-PUCAHIRCA-TURUNA DISTRITO DE FIDEL OLIVAS ESCUDERO DE LA PROVINCIA DE MARISCAL LUZURIAGA DEL DEPARTAMENTO DE ANCASH";"TRANSPORTES";"Clasificación";"Transportes";"21/12/2023";"En Evaluación";"SIN DESCRIPCION";"-77.29956129";"-8.80544378";"";"null";
"512";"MAERSK LOGISTICS & SERVICES PERU S.A.";"20107012011";"EVALUACIÓN PRELIMINAR DEL CENTRO DE SELECCIÓN Y EMPAQUE DE FRUTA %u2013 GREEN BLUE EN OLMOS";"CENTRO DE SELECCIÓN Y EMPAQUE DE FRUTA %u2013 GREEN BLUE EN OLMOS";"Clasificación";"Agricultura";"15/12/2023";"En Evaluación";"SIN DESCRIPCION";"-80.05884678";"-6.19443324";"";"null";
"479";"MINSUR S. A.";"20100136741";"TERCERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA PUCAMARCA";"PUCAMARCA";"MEIA-d";"Minería";"11/05/2023";"En Evaluación";"SIN DESCRIPCION";"-69.81002058";"-17.81448645";"";"null";
"531";"ATOM ENVIRONMENTAL SOCIEDAD ANONIMA CERRADA-ATOM ENVIRONMENTAL S.A.C.";"20607980684";"Proyecto de Explotación Minera Mariona";"Mariona";"Cls Anticipada";"Minería";"22/03/2024";"En Evaluación";"SIN DESCRIPCION";"-78.58843275";"-5.53310673";"";"null";
"532";"CONSORCIO TRANSMANTARO S.A.";"20383316473";"Informe Técnico Sustentatorio N° 4 para el Proyecto %u201CEnlace 500 kV Mantaro-Nueva Yanango-Carapongo y Subestaciones Asociadas%u201D %u2013 ITS N° 4 COYA";"Enlace 500 kV Mantaro-Nueva Yanango-Carapongo y Subestaciones Asociadas";"ITS";"Electricidad";"14/03/2024";"En Evaluación";"SIN DESCRIPCION";"-75.18060299";"-11.46825873";"";"null";
"520";"Cia Minera las Camelias S A";"20100171652";"EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) DEL PROYECTO DE MODIFICACIÓN DE LA U.M JULISSA A";"JULISSA A";"Clasificación";"Minería";"13/03/2024";"En Evaluación";"SIN DESCRIPCION";"-79.14134642";"-7.22363743";"";"null";
"521";"TRANSRESOL S.R.L";"20529413344";"PLANTA DE VALORIZACION DE RESIDUOS SOLIDOS TRANSRESOL";"PLANTA ÚNICA";"Clasificación";"Residuos Sólidos";"27/02/2024";"En Evaluación";"SIN DESCRIPCION";"-79.3667";"-7.63480737";"";"null";
"522";"VOLCAN COMPANIA MINERA S.A.A.";"20383045267";"Informe Técnico Sustentatorio para Adecuación del Sistema de Transporte de Relaves de la Unidad Minera Carahuacra";"Carahuacra";"ITS";"Minería";"20/02/2024";"En Evaluación";"SIN DESCRIPCION";"-76.0948362";"-11.69241574";"";"null";
"523";"SIERRA ANTAPITE S.A.C.";"20601434335";"MODIFICACION DE ESTUDIO DE IMPACTO AMBIENTAL";"ANTAPITE";"Cls Anticipada";"Minería";"12/02/2024";"En Evaluación";"SIN DESCRIPCION";"-75.06703626";"-13.97759093";"";"null";
